时间,大小闸,po1,均衡风缸,列车管,po2,预控,闸1,闸2,总风缸
2014-03-23 01:06:29,运转.运转,599,0,598,0,0,0,0,830
2014-03-23 01:06:34,运转.运转,600,1,600,1,0,1,0,825
2014-03-23 01:06:39,运转.运转,600,0,600,0,0,0,0,819
2014-03-23 01:06:44,运转.运转,600,1,599,1,0,1,-1,815
2014-03-23 01:06:49,运转.运转,599,0,600,0,0,0,0,811
2014-03-23 01:06:54,运转.运转,600,1,600,1,0,1,-1,807
2014-03-23 01:06:59,运转.运转,600,1,600,1,0,1,-1,803
2014-03-23 01:07:04,运转.运转,599,1,600,1,0,1,0,799
2014-03-23 01:07:09,运转.运转,599,0,600,0,2,0,0,795
2014-03-23 01:07:14,运转.运转,600,0,600,0,1,0,0,791
2014-03-23 01:07:19,运转.运转,599,1,601,1,0,1,-1,787
2014-03-23 01:07:24,运转.运转,599,0,598,0,0,0,0,783
2014-03-23 01:07:29,运转.运转,599,0,600,0,0,0,0,779
2014-03-23 01:07:34,运转.运转,600,1,599,1,0,1,-1,784
2014-03-23 01:07:39,运转.运转,599,0,602,0,1,0,0,789
2014-03-23 01:07:44,运转.运转,600,1,601,1,0,1,0,794
2014-03-23 01:07:49,运转.运转,600,0,601,0,0,0,0,799
2014-03-23 01:07:54,运转.运转,600,1,601,1,0,1,0,804
2014-03-23 01:07:59,运转.运转,600,1,602,1,0,1,-1,809
2014-03-23 01:08:04,运转.运转,599,1,603,1,0,1,-1,814
2014-03-23 01:08:09,运转.运转,599,1,601,1,0,1,0,819
2014-03-23 01:08:14,运转.运转,599,0,600,0,2,0,0,824
2014-03-23 01:08:19,运转.运转,599,1,605,1,0,1,-1,829
2014-03-23 01:08:24,运转.运转,599,0,603,0,1,0,0,834
2014-03-23 01:08:29,运转.运转,600,0,603,0,2,0,0,830
2014-03-23 01:08:34,运转.运转,599,0,603,0,1,0,0,825
2014-03-23 01:08:39,运转.运转,599,0,604,0,1,0,0,830
2014-03-23 01:08:44,运转.运转,600,0,604,0,1,0,0,825
2014-03-23 01:08:49,运转.运转,599,0,603,0,0,0,0,819
2014-03-23 01:08:54,运转.运转,599,1,604,1,0,1,0,815
2014-03-23 01:08:59,运转.运转,600,0,603,0,1,0,0,811
2014-03-23 01:09:04,运转.运转,600,1,605,1,0,1,-1,807
2014-03-23 01:09:09,运转.运转,600,0,603,0,2,0,0,803
2014-03-23 01:09:14,运转.运转,600,1,606,1,0,1,-1,799
2014-03-23 01:09:19,运转.运转,600,0,605,0,1,0,0,795
2014-03-23 01:09:24,运转.运转,600,0,605,0,2,0,0,791
2014-03-23 01:09:29,运转.运转,600,0,604,0,2,0,0,787
2014-03-23 01:09:34,运转.运转,600,0,603,0,0,0,0,783
2014-03-23 01:09:39,运转.运转,599,1,605,1,0,1,-1,779
2014-03-23 01:09:44,运转.运转,599,0,605,0,0,0,0,784
2014-03-23 01:09:49,运转.运转,599,0,603,0,2,0,0,789
2014-03-23 01:09:54,运转.运转,600,1,604,1,0,1,-1,794
2014-03-23 01:09:59,运转.运转,599,0,603,0,0,0,0,799
2014-03-23 01:10:04,运转.运转,599,1,605,1,0,1,-1,804
2014-03-23 01:10:09,运转.运转,599,1,606,1,0,1,0,809
2014-03-23 01:10:14,运转.运转,599,1,605,1,0,1,-1,814
2014-03-23 01:10:19,运转.运转,600,0,604,0,0,0,0,819
2014-03-23 01:10:24,运转.运转,600,1,606,1,0,1,0,824
2014-03-23 01:10:29,运转.运转,600,1,605,1,0,1,-1,829
2014-03-23 01:10:34,运转.运转,599,1,604,1,0,1,0,834
2014-03-23 01:10:39,运转.运转,599,0,604,0,2,0,0,830
2014-03-23 01:10:44,运转.运转,599,0,603,0,0,0,0,825
2014-03-23 01:10:49,运转.运转,600,0,605,0,0,0,0,830
2014-03-23 01:10:54,运转.运转,599,1,606,1,0,1,0,825
2014-03-23 01:10:59,运转.运转,600,0,604,0,0,0,0,819
2014-03-23 01:11:04,运转.运转,600,1,605,1,0,1,0,815
2014-03-23 01:11:09,运转.运转,599,0,605,0,0,0,0,811
2014-03-23 01:11:14,运转.运转,600,1,606,1,0,1,-1,807
2014-03-23 01:11:19,运转.运转,599,0,605,0,1,0,0,803
2014-03-23 01:11:24,运转.运转,599,0,603,0,0,0,0,799
2014-03-23 01:11:29,运转.运转,599,1,605,1,0,1,0,795
2014-03-23 01:11:34,运转.运转,599,1,606,1,0,1,0,791
2014-03-23 01:11:39,运转.运转,600,0,603,0,1,0,0,787
2014-03-23 01:11:44,运转.运转,600,0,605,0,2,0,0,783
2014-03-23 01:11:49,运转.运转,600,0,605,0,0,0,0,779
2014-03-23 01:11:54,运转.运转,600,1,604,1,0,1,0,784
2014-03-23 01:11:59,运转.运转,600,0,604,0,2,0,0,789
2014-03-23 01:12:04,运转.运转,599,1,606,1,0,1,-1,794
2014-03-23 01:12:09,运转.运转,600,0,604,0,2,0,0,799
2014-03-23 01:12:14,运转.运转,600,0,605,0,1,0,0,804
2014-03-23 01:12:19,运转.运转,600,0,604,0,2,0,0,809
2014-03-23 01:12:24,运转.运转,599,1,604,1,0,1,0,814
2014-03-23 01:12:29,运转.运转,600,1,605,1,0,1,0,819
2014-03-23 01:12:34,运转.运转,600,0,604,0,1,0,0,824
