Count_RSS_1,Mean_RSS_1,Min_RSS_1,Q1_RSS_1,Median_RSS_1,Q3_RSS_1,Max_RSS_1,Mad_RSS_1,Var_RSS_1,Std_RSS_1,Skew_RSS_1,Kurt_RSS_1,Count_RSS_2,Mean_RSS_2,Min_RSS_2,Q1_RSS_2,Median_RSS_2,Q3_RSS_2,Max_RSS_2,Mad_RSS_2,Var_RSS_2,Std_RSS_2,Skew_RSS_2,Kurt_RSS_2,Count_RSS_3,Mean_RSS_3,Min_RSS_3,Q1_RSS_3,Median_RSS_3,Q3_RSS_3,Max_RSS_3,Mad_RSS_3,Var_RSS_3,Std_RSS_3,Skew_RSS_3,Kurt_RSS_3,Count_RSS_4,Mean_RSS_4,Min_RSS_4,Q1_RSS_4,Median_RSS_4,Q3_RSS_4,Max_RSS_4,Mad_RSS_4,Var_RSS_4,Std_RSS_4,Skew_RSS_4,Kurt_RSS_4,corr_0,corr_1,corr_2,corr_3,corr_4,corr_5,cov_0,cov_1,cov_2,cov_3,cov_4,cov_5,cov_6,cov_7,cov_8,cov_9
27.0,-0.23280485185185182,-0.90476,-0.30952,-0.14286,-0.095238,0.0,0.1591208504801097,0.04680485267313105,0.21634429198185712,-1.669888429947781,2.920706485091868,27.0,-0.08296296296296297,-0.6,-0.2,-0.04,0.04,0.16,0.1402469135802469,0.03445242165242165,0.1856136354162098,-1.0915046580700587,1.2961661725664468,27.0,-0.0776005185185185,-0.61905,-0.28570999999999996,-0.047619,0.14286,0.28570999999999996,0.2074600932784637,0.05793626631502849,0.24069953534443828,-0.5453336969133011,-0.7480996797243877,27.0,0.0888888888888889,-0.8,-0.07500000000000001,0.15,0.32499999999999996,0.5,0.2279835390946502,0.08967948717948718,0.2994653355223058,-1.2856938130107234,1.9370651660202514,0.24304673773823907,-0.016933064025463695,-0.13899368432225506,-0.09553047761850218,-0.21373345370630986,0.1311374728343622,0.04680485267313106,0.009759894301994304,-0.0008817718774586915,-0.009005069444444442,0.03445242165242165,-0.004268026210826212,-0.011880341880341885,0.05793626631502848,0.009452542094017092,0.08967948717948718
26.0,-0.5311338461538461,-0.85714,-0.7619,-0.59524,-0.28570999999999996,-0.14286,0.23020508875739648,0.0634355808246154,0.25186421108330453,0.19354644017112974,-1.7221702286094513,26.0,-0.4169230769230769,-0.88,-0.6,-0.44,-0.2,0.04,0.23230769230769227,0.07887015384615385,0.2808383055178795,-0.06672341678410657,-0.938912631355866,26.0,0.3113553076923077,-0.42857,0.01190475,0.16666999999999998,0.71429,0.85714,0.3519293550295858,0.15895273512310154,0.39868876974790945,-0.02355215619278624,-1.3173176373735918,26.0,0.40769230769230774,-0.25,0.1,0.525,0.65,0.8,0.26804733727810653,0.10133846153846154,0.318337025082634,-0.6571590016674362,-0.8651893979565046,0.6897066255091192,-0.7315115276428049,-0.51122528270238,-0.564841353527753,-0.38326782655378144,0.1747243489144115,0.0634355808246154,0.0487851003076923,-0.07345504639796924,-0.040988869230769234,0.07887015384615384,-0.06324363618461538,-0.034264615384615386,0.15895273512310154,0.022175559538461537,0.10133846153846154
23.0,-0.6625247826086957,-1.0,-0.85714,-0.71429,-0.42857,-0.14286,0.22378196597353495,0.0657415764624506,0.2564012021470465,0.3321725271051666,-1.050682699447624,23.0,-0.32869565217391317,-0.84,-0.44,-0.32,-0.2,-0.04,0.15667296786389417,0.0398482213438735,0.19962019272576986,-0.7864437198845527,0.4730688097739493,23.0,0.488612652173913,-0.14286,0.14286,0.66667,0.7619,0.85714,0.3078585103969754,0.1187829250828735,0.34464898822261686,-0.5778095023971054,-1.267426127578391,23.0,0.4521739130434782,-0.3,0.35,0.45,0.7,0.8,0.232703213610586,0.09738142292490118,0.3120599668731976,-1.1088234994691786,0.9524775626228053,0.5572642122634736,-0.7225954132651233,-0.10156716859420692,-0.6087049381274847,0.08204185570224155,0.08828966657113076,0.06574157646245059,0.028522374703557316,-0.06385461128355732,-0.008126648221343872,0.039848221343873516,-0.04187822861660079,0.005110671936758894,0.11878292508287353,0.00949565533596838,0.0973814229249012
23.0,-0.7204973913043478,-1.0,-0.92857,-0.66667,-0.57143,-0.42857,0.173191606805293,0.042734252020158105,0.20672264515567254,-0.1294203508521141,-1.237218606882299,23.0,-0.4434782608695652,-0.84,-0.56,-0.4,-0.32,-0.08,0.17754253308128543,0.04536916996047429,0.21300039896787587,-0.2654935916715779,-0.6225004572481039,23.0,0.5465843478260868,-0.095238,0.261905,0.71429,0.78571,0.85714,0.27671258979206054,0.1038689063059644,0.3222869936965567,-0.8339793070489798,-0.8485423673593564,23.0,0.4369565217391304,-0.35,0.3,0.55,0.65,0.8,0.2625708884688091,0.11391304347826092,0.33751006426218005,-1.1043735459932815,0.643924441329891,0.2688695141475108,-0.5036776279074459,-0.019827675903039958,-0.11608788614700984,0.24592984294306663,0.15806455897628502,0.042734252020158105,0.011838864031620553,-0.03355702827276679,-0.0013833962450592872,0.045369169960474305,-0.007969115098814226,0.017679841897233203,0.10386890630596442,0.017193488833992097,0.11391304347826088
25.0,-0.80381,-1.0,-1.0,-0.90476,-0.66667,-0.47618999999999995,0.18118000000000006,0.039742745658333335,0.1993558267478865,0.40091891920634143,-1.4974854294731943,25.0,-0.4960000000000001,-0.8,-0.56,-0.48,-0.44,-0.16,0.11264000000000003,0.021333333333333333,0.1460593486680443,0.1986982647471203,0.21531373517786667,25.0,0.620952,0.19047999999999998,0.52381,0.71429,0.80952,0.9523799999999999,0.17706672,0.04411937605000001,0.21004612838612383,-0.4660078151093179,-0.8016296601129422,25.0,0.514,0.05,0.35,0.5,0.65,0.9,0.18368,0.04885833333333333,0.22103921220754777,0.054757424759833896,-0.6754416011306921,0.48843692484602524,-0.4740994966590366,0.12868876947697397,-0.5266961425577121,-0.12957576674667629,0.09341959076229112,0.03974274565833333,0.014222200000000004,-0.019852404195833333,0.005670729166666667,0.021333333333333333,-0.016158616666666667,-0.004183333333333332,0.04411937604999999,0.004337324999999999,0.04885833333333334
27.0,-0.7795399999999999,-1.0,-0.9761899999999999,-0.80952,-0.71429,-0.28570999999999996,0.15807703703703704,0.04241214929230768,0.20594210179637307,0.8800193717425453,0.08770394504240331,27.0,-0.43999999999999995,-0.8,-0.56,-0.44,-0.32,-0.08,0.15407407407407414,0.03458461538461539,0.18596939367706555,-0.10664135682557152,-0.6519015716619592,27.0,0.573192962962963,0.19047999999999998,0.45238,0.57143,0.71429,0.85714,0.14658181069958848,0.03043496360626782,0.17445619394641115,-0.4222075472517464,-0.6360103694421211,27.0,0.4925925925925925,-0.6,0.375,0.55,0.65,0.95,0.18449931412894371,0.08436609686609688,0.2904584253660012,-2.0794691145503936,7.144935553773318,0.12625057190244554,-0.3899321306258816,-0.21965743407965535,-0.1603255214446705,0.06693126787091724,0.13400295949543012,0.042412149292307695,0.004835261538461541,-0.01400943294615385,-0.013139384615384614,0.034584615384615394,-0.005201523076923078,0.003615384615384615,0.030434963606267813,0.00679023433048433,0.08436609686609686
26.0,-0.6593407692307692,-1.0,-0.7619,-0.64286,-0.57143,-0.28570999999999996,0.16849846153846157,0.04475165840738462,0.2115458777839564,-0.06907606409780015,-0.6343843139479781,26.0,-0.44307692307692315,-0.88,-0.56,-0.44,-0.29000000000000004,-0.08,0.15124260355029587,0.03762215384615384,0.19396431075368953,-0.27527950458729644,-0.11582278373768551,26.0,0.5695957692307692,0.28570999999999996,0.42857,0.5,0.7499975000000001,0.9523799999999999,0.18470050295857987,0.04471328108138461,0.21145515146570587,0.37208317331833246,-1.2327568424070812,26.0,0.3923076923076923,-0.05,0.3,0.35,0.5,0.9,0.14940828402366862,0.03973846153846153,0.19934508155071579,0.1883830410214053,0.9873154315653818,0.48706694485606,-0.35453600288893816,0.252074341336076,-0.031719648480644305,0.3324740259853799,-0.30310231621837075,0.044751658407384605,0.01998550153846154,-0.015859269563384615,0.010630133846153848,0.037622153846153854,-0.001300973538461539,0.012855384615384617,0.044713281081384615,-0.012776533846153848,0.03973846153846154
25.0,-0.7066664,-1.0,-0.9523799999999999,-0.71429,-0.47618999999999995,-0.2381,0.21424723199999995,0.0611638582073333,0.24731327948036536,0.30815439089071,-1.2937563026510306,25.0,-0.46720000000000006,-0.8,-0.64,-0.48,-0.32,-0.08,0.16473600000000005,0.037296,0.19312172327317298,0.24311378462120267,-0.967244540631591,25.0,0.34666652,-0.095238,0.19047999999999998,0.38095,0.52381,0.71429,0.16411429760000001,0.04242630869092668,0.20597647606201705,-0.5969460228678944,-0.1682936878366319,25.0,0.446,0.05,0.35,0.45,0.55,0.85,0.16448000000000002,0.04581666666666667,0.21404828115793564,-0.006018340678075638,-0.22909183592824567,-0.16829601466360933,0.17968300643583063,0.08680239144829491,-0.12817249260509692,0.2048993296262778,0.26902395233705056,0.06116385820733333,-0.008038081333333332,0.00915318132263333,0.004595056666666669,0.037295999999999996,-0.005098513599999999,0.00847,0.04242630869092667,0.011860972999999999,0.04581666666666667
25.0,-0.06666592000000002,-0.42857,-0.19047999999999998,0.0,0.0,0.19047999999999998,0.1310477376,0.026266084057743333,0.16206814633895006,-0.41215827561738994,-0.33521850150857624,25.0,-0.13600000000000004,-0.76,-0.2,-0.08,0.04,0.04,0.16640000000000008,0.046266666666666685,0.2150968773986891,-1.4515157913825578,1.8314152386479012,25.0,-0.14095256,-0.71429,-0.28570999999999996,-0.14286,0.047619,0.19047999999999998,0.19261073280000002,0.06055988167183999,0.24608917422723006,-0.7120494880039758,0.14281348330757604,25.0,0.066,-0.35,-0.1,0.05,0.2,0.45,0.16463999999999998,0.04431666666666667,0.21051524093677082,0.025946677822501218,-0.5998299927245485,0.6329115056361984,0.045960465476047825,-0.17969691022649345,0.0050979338794976264,0.1439155950921928,-0.22466381339199512,0.026266084057743326,0.022063517999999994,0.0018330511858800007,-0.006130865916666667,0.046266666666666664,0.00026984900000000256,0.0065166666666666645,0.060559881671839996,-0.011638826083333333,0.04431666666666666
24.0,-0.208333875,-0.57143,-0.38095,-0.14286,-0.095238,0.14286,0.15178510416666666,0.03387793998924456,0.18405960988018136,-0.2900438629943138,-0.6648002527998709,24.0,-0.13500000000000004,-0.76,-0.21000000000000002,-0.08,0.04,0.16,0.18666666666666665,0.05896521739130438,0.2428275466072669,-1.3360909099569085,0.9040956859458089,24.0,-0.1706339583333333,-0.85714,-0.28570999999999996,-0.11904899999999999,0.0,0.14286,0.1815461979166667,0.05677126759586776,0.23826721888641703,-1.1758254918945354,1.8192666682993388,24.0,0.06875000000000002,-0.7,0.037500000000000006,0.1,0.275,0.45,0.2114583333333333,0.08778532608695652,0.29628588573699643,-1.288560544337685,1.3972347080084968,0.41621157942173315,0.2467261368636413,0.36707423872888123,0.10842602919592823,-0.01888483828841877,0.11034347066406953,0.03387793998924456,0.018602469782608697,0.010820266355255433,0.020018123641304345,0.05896521739130436,0.006273296304347825,-0.0013586956521739143,0.056771267595867744,0.007789720923913042,0.08778532608695652
24.0,-0.1686515833333333,-0.42857,-0.2500025,-0.14286,-0.1309545,0.0,0.09358368055555555,0.01517853753842754,0.12320120753640176,-0.44090364130223575,-0.008552044949778015,24.0,-0.13833333333333334,-0.52,-0.23000000000000004,-0.08,0.04,0.04,0.15472222222222218,0.035197101449275355,0.18760890557027232,-0.8316068963808326,-0.5296897440748882,24.0,-0.05952295833333334,-0.90476,-0.1071435,0.0238095,0.14286,0.2381,0.1944451944444444,0.07359794918204166,0.27128941959103686,-1.7924229460759429,3.360914449478592,24.0,0.08125,-0.55,-0.05,0.1,0.2625,0.45,0.18854166666666664,0.0625679347826087,0.2501358326641921,-0.9736492512448699,0.8222459810911675,0.13989031621266082,0.20574308384153966,-0.32877383529636767,-0.238783224690587,-0.18923648348825167,0.3306540100495318,0.015178537538427532,0.0032333749275362316,0.006876588965547102,-0.010131835326086953,0.03519710144927537,-0.012153185289855071,-0.008880434782608694,0.07359794918204167,0.022437918206521735,0.0625679347826087
24.0,-0.20833325000000003,-0.66667,-0.345235,-0.19047999999999998,-0.047619,0.14286,0.17013785416666669,0.04531458538741302,0.21287222784434098,-0.2615700761105019,-0.36454646006099223,24.0,-0.1666666666666667,-0.6,-0.28,-0.2,-0.019999999999999997,0.16,0.15611111111111106,0.0366840579710145,0.19153082773019725,-0.4891660602439536,0.0371686023895359,24.0,-0.1924604166666667,-0.85714,-0.28570999999999996,-0.16666999999999998,-0.03571425,0.14286,0.19279048611111116,0.06693872042390579,0.2587251832039274,-0.8428386666737705,0.6917258384211782,24.0,0.08125,-0.55,-0.1,0.1,0.25,0.55,0.2036458333333333,0.06843750000000001,0.2616056192057044,-0.21505324351584035,0.26326613411228506,0.557563424312774,0.17296277121960735,-0.21818797676584845,-0.0036214856399593353,-0.22994940179961082,0.33896923854591743,0.045314585387413044,0.022732749565217387,0.009525994873413043,-0.012150576630434786,0.0366840579710145,-0.00017945855072463749,-0.011521739130434782,0.0669387204239058,0.02294278097826087,0.0684375
23.0,-0.20910913043478258,-0.47618999999999995,-0.30952,-0.2381,-0.14286,0.14286,0.1420452551984877,0.032104332294118576,0.17917681851768263,0.5813063888208702,-0.28310344346277505,23.0,-0.20173913043478267,-0.72,-0.30000000000000004,-0.2,-0.06,0.04,0.15168241965973542,0.039342292490118586,0.19834891602960322,-0.8314720457509955,0.650136100586101,23.0,-0.04140826086956522,-0.66667,-0.14286,0.0,0.11904899999999999,0.28570999999999996,0.17157340264650286,0.05262942375583795,0.22941103669143284,-0.950512077163693,1.3391877890928923,23.0,0.10869565217391304,-0.4,-0.05,0.15,0.25,0.45,0.17637051039697543,0.04719367588932806,0.2172410547970343,-0.6535906366478309,-0.1281852550621001,0.40100992639056515,-0.31550875512923954,-0.14022622533287551,-0.29657301506452927,-0.30976960733240616,0.19213696404465833,0.032104332294118576,0.014251703399209486,-0.01296903145212648,-0.005458244268774705,0.03934229249011858,-0.013495089565217392,-0.013347826086956522,0.052629423755837935,0.009575625098814228,0.04719367588932806
